;Artist;Title;Language;Year
001;2NE1;I Am The Best;Korean;2011
002;3 Doors Down;Here without you;English;2002
003;5 Seconds of Summer;She looks so perfect;English;2014
004;A Day To Remember;All Signs Point to Lauderdale;English;2010
005;a-ha;Take on me;English;1985
006;ABBA;Dancing Queen;English;1976
007;ABBA;Does Your Mother Know?;English;1979
008;ABBA;Gimme! Gimme! Gimme! (A Man After Midnight);English;1979
009;ABBA;Mamma Mia;English;1975
010;Abba;Money, Money, Money;-;-
011;ABBA;Super Trouper;English;1980
012;ABBA;Take A Chance On Me;English;1977
013;ABBA;Waterloo;English;1974
014;AC/DC;Highway To Hell;English;1979
015;AC/DC;T.N.T. (Live);English;1991
016;AC/DC;You shook me all night long (Live);English;1991
017;Adele;Easy on me;English;2021
018;Adele;Rolling In The Deep;English;2011
019;Aerosmith;Don't want to miss a Thing;-;-
020;Afro-dite;Never Let It Go;English;2002
021;After Dark;La Dolce Vita;Swedish;2004
022;Akon;Lonely;English;2005
023;Aladdin;En Helt Ny Värld;Swedish;1992
024;Alcazar;Not A Sinner, Nor A Saint;English;-
025;Alesso feat. Tove Lo;Heroes (We Could Be);English;2014
026;Alice Cooper;Poison;English;1989
027;Alphabeat;Fascination;English;2008
028;Alphaville;Forever Young;English;1984
029;Anastacia;Left Outside Alone;English;-
030;Aqua;Barbie Girl;-;-
031;Ariana Grande;One Last Time;English;2015
032;Ariana Grande;Thank u, next (MV);English;2018
033;Ariana Grande & Zedd;Break Free;English;2014
034;Aristocats;Alla Snubbar Vill Ju Vara Katt;Swedish;1970
035;Arja Saijonmaa;Högt Över Havet;Swedish;1987
036;Arvingarna;Eloise;Swedish;1993
037;Atomic Kitten;Eternal Flame;-;-
038;Atomic Kitten;Whole Again;English;2001
039;Attack;Ooa hela natten;Swedish;2003
040;Ava Max;Kings & Queens;English;2020
041;Avenged Sevenfold;Afterlife;English;2007
042;Avicii;Hey brother;English;2013
043;Avicii;Levels;English;2011
044;Avicii;Wake Me Up!;English;2012
045;Avril Lavigne;Complicated;English;2002
046;Avril Lavigne;Girlfriend;English;2007
047;Avril Lavigne;Sk8er Boi;English;2002
048;Avril Lavigne;What The Hell;English;2011
049;Avril Lavigne;When You're Gone;English;2007
050;Aya Hirano;God Knows;Japanese;2006
051;Backstreet Boys;As Long As You Love Me;English;1997
052;Backstreet Boys;I Want It That Way;-;-
053;Backstreet Boys;I Want It That Way;English;1999
054;Backstreet Boys;Show me the meaning of being lonely;English;1998
055;Barbados;Världen Utanför;Swedish;2002
056;Basshunter;Angel In The Night;English;2008
057;Basshunter;Boten Anna;Swedish;2006
058;Basshunter;DotA;Swedish;2006
059;Basshunter;Now You Are Gone;English;2008
060;Belinda Carlisle;Heaven Is A Place On Earth;English;1987
061;Beyonce;Crazy In Love;English;2003
062;Beyoncé;If I were a boy;English;2008
063;Beyoncé;Single ladies (Put a ring on it);English;2008
064;Bill Medley & Jennifer Warnes;(I've Had) the Time of My Life;English;1987
065;Bill Withers;Ain't No Sunshine;-;-
066;Billy Joel;Uptown Girl;English;1983
067;Black Eyed Peas;I Gotta Feeling;English;2008
068;Blondie;Maria;English;1999
069;Blur;Song 2;English;1996
070;Bob Marley;No Woman No Cry;English;1976
071;Bon Jovi;It's my life;English;2000
072;Bon Jovi;Livin' on a Prayer;English;1986
073;Bon Jovi;You Give Love A Bad Name;English;1986
074;Bonnie Tyler;Holding Out For A Hero;English;1984
075;Bonnie Tyler;Total Eclipse of the Heart;-;-
076;Boston;More Than A Feeling;English;1976
077;Brandsta City Släckers;Kom Och Ta Mig;Swedish;2002
078;Britney Spears;Baby One More Time;English;1999
079;Britney Spears;Toxic;English;2003
080;Bruce Springsteen;Born in the U.S.A;English;1984
081;Bruno Mars;Grenade;English;2010
082;Bruno Mars;Locked Out Of Heaven;English;2012
083;Bryan Adams;Summer of '69;-;-
084;Bryan Adams;Summer of '69;English;1984
085;BTS;Blood Sweat & Tears;Korean;2016
086;BTS;DOPE;Korean;2015
087;Buggles;Video Killed The Radio Star;-;-
088;Bullet For My Valentine;Scream Aim Fire;English;2008
089;Bullet For My Valentine;Tears Don't Fall;English;2005
090;Caramell;Caramelldansen (Speedy Mix);Swedish;2008
091;Carly Rae Jepsen;Call Me Maybe;English;2012
092;Carola;Fångad av en stormvind;Swedish;1991
093;Carola Häggkvist;Främling;Swedish;1983
094;Cascada;A Neverending Dream;English;2006
095;Cascada;Another you;English;2005
096;Cascada;Bad Boy;English;2005
097;Cascada;Everytime We Touch;-;-
098;Cascada;Everytime We Touch (Slow Version);English;2005
099;Cascada;Miracle;English;2004
100;Cascada;What Do You Want From Me?;English;2008
101;Cascada;What Hurts The Most;English;2008
102;Charlotte Nilsson;Take Me to Your Heaven;-;-
103;Charlotte Nilsson;Tusen Och En Natt;Swedish;-
104;Cher;Believe;English;1998
105;Cher;If I Could Turn Back Time;-;-
106;Chester See, KevJumba & Ryan Higa;Nice Guys;English;2011
107;Cinderella;Mössens Arbetssång;Swedish;1950
108;Clean Bandit feat. Demi Lovato;Solo;English;2018
109;Coldplay;Viva la vida;English;2008
110;Culture Club;Karma Chameleon;-;-
111;Cyndi Lauper;Girls Just Wanna Have Fun;English;1984
112;Cyndi Lauper;Time After Time;-;-
113;Cyndi Lauper;Time After Time;English;1983
114;Céline Dion;My Heart Will Go On;-;-
115;Daler Mehndi;Tunak Tunak Tun;Hindi;1998
116;Dana Winner;Moonlight Shadow;-;-
117;David Guetta & Sia;She Wolf (Falling To Pieces);English;2012
118;David Guetta & Sia;Titanium;English;2011
119;David Guetta feat. Flo Rida & Nicki Minaj;Where Them Girls At?;English;2011
120;Dead or Alive;You Spin Me Round (Like A Record);-;-
121;Demi Lovato;Heart Attack;English;2013
122;Den Lilla Sjöjungfrun;Havet Är Djupt;Swedish;1989
123;Dexy's Midnight Runners;Come On Eileen;-;-
124;Dido;White Flag;English;2003
125;Disturbed;Down with the sickness;English;2000
126;Disturbed;The Sound Of Silence;English;2015
127;Djungelboken;Jag Vill Ju Va Som Du;Swedish;1967
128;Dolly Parton;9 To 5;English;1980
129;Don Omar & Lucenzo;Danza Kuduro;Español;2010
130;DragonForce;Through the fire and flames;English;2006
131;Drömhus;Vill Ha Dig;Swedish;1998
132;E-Type;Life;English;2001
133;Earth, Wind & Fire;Let's Groove;English;1981
134;Earth, Wind & Fire;September;English;1978
135;Ed Sheeran;Bad habits;English;2021
136;Ed Sheeran;Galway Girl;English;2017
137;Ed Sheeran;Shape of you;English;2017
138;Ed Sheeran;Shivers;English;2021
139;Ed Sheeran;The A Team;English;2010
140;Elle King;Ex's & Oh's;English;2015
141;Elton John & Kiki Dee;Don't Go Breaking My Heart;-;-
142;Eminem & Rihanna;The Monster;English;2013
143;Eminem feat Rihanna;Love The Way You Lie;English;2010
144;Encanto;We don't talk about Bruno;English;2021
145;Eric Saade;Popular (Sweden);English;2011
146;Europe;Final Countdown;-;-
147;Europe;Final Countdown;English;1986
148;Eurythmics;Sweet Dreams;English;1983
149;Evanecense;Bring me to life;-;-
150;Evanescence;Bring Me to Life;English;2003
151;Evanescence;My Immortal;-;-
152;Fame;Give Me Your Love;English;2003
153;Family Guy;Family Guy;English;1999
154;Flo Rida;Good Feeling;English;2011
155;Flo Rida;Right round;English;2009
156;Flo Rida;Whistle;English;2012
157;Flo Rida ft David Guetta;Club Can't Handle Me;English;2010
158;Foo Fighters;Best Of You;English;2005
159;Foo Fighters;Everlong;English;1997
160;Foo Fighters;Monkey Wrench;English;1997
161;Foreigner;I Want To Know What Love Is;-;-
162;Foreigner;I Want To Know What Love Is;English;1984
163;Galantis;No Money;English;2016
164;Galantis;Runaway (U & I);English;2014
165;George Michael;Careless Whisper;English;1984
166;Girls' Generation;Gee (PV);Korean;2009
167;Glee;Defying Gravity;English;2010
168;Glee;Friday;English;2011
169;Gloria Gaynor;I Will Survive;English;1979
170;Grease (John Travolta & Olivia Newton-John);You're the One that I Want;English;1978
171;Green Day;American Idiot;-;-
172;Green Day;American Idiot;English;2004
173;Green Day;Basket Case;English;1994
174;Green Day;Boulevard of Broken Dreams;English;2004
175;Green Day;Holiday;English;2005
176;Guns N' Roses;Paradise City;English;1987
177;Guns N' Roses;Sweet Child O´Mine;English;1987
178;Guns N' Roses;Welcome To The Jungle;English;1987
179;Haddaway;What is love;English;1993
180;Hannah Montana;Nobody's Perfect;English;2006
181;Hannah Montana;The Best of Both Worlds;English;2006
182;Hatsune Miku;Ievan Polkka;Finnish;2007
183;Hatsune Miku;World is mine;Japanese;2010
184;Helena Paparizou;My Number One;English;-
185;Hermes House Band;Country Roads;-;-
186;Herreys;Diggi-Loo Diggi-Ley;Swedish;1984
187;High School Musical;Bop to the Top;English;2006
188;High School Musical;Breaking Free;English;2006
189;High School Musical;Get'cha Head in the Game;English;2006
190;High School Musical;Start of Something New;English;2006
191;High School Musical;Stick To The Status Quo;English;2006
192;High School Musical;We're All In This Together;English;2006
193;High School Musical;What I've been looking for;English;2006
194;High School Musical;When There Was Me And You;English;2006
195;Icona Pop & Charli XCX;I Love It;English;2012
196;Idina Menzel;Let it go;English;2013
197;Irene Cara;Flashdance (What a feeling);English;1983
198;Iron Maiden;Fear Of The Dark;-;-
199;Iron Maiden;Run to the Hills;English;1982
200;Iron Maiden;The Trooper;English;1983
201;Israel Kamakawiwo´Ole;Over The Rainbow Wonderful World;English;1993
202;Iyaz;Replay;English;2009
203;Jack Ü & Justin Bieber;Where Are Ü Now;English;2015
204;James Blunt;You're Beautiful;English;2005
205;Janne Lucas;Växeln hallå;Swedish;1980
206;Jason Derülo;Whatcha Say;English;2009
207;Jason Mraz;I'm yours;English;2008
208;Jay-Z Ft Alicia Keys;Empire State Of Mind;English;2009
209;Jennifer Lopez;Jenny From The Block;English;2002
210;Jennifer Lopez & Pitbull;On The Floor;English;2011
211;Jessica Darrow;Surface Pressure (De "Encanto);English;2021
212;Jessie J;Domino;English;2011
213;Jill Johnson;Crazy In Love;English;-
214;Jimmy Jansson;Vi kan gunga;Swedish;2005
215;Jonas Brothers;S.O.S.;English;2007
216;Journey;Don't Stop Believing;English;1981
217;Judas Priest;Breaking the Law;English;1980
218;Justin Bieber;Sorry;English;2015
219;Justin Bieber;What do you mean?;English;2015
220;Justin Bieber & Ludacris;Baby;English;2010
221;Justin Timberlake;Can't stop the feeling!;English;2016
222;K-ON!;Cagayake girls (TV);Japanese;2009
223;Katrina And The Waves;Walking On Sunshine;-;-
224;Katy Perry;Firework;English;2010
225;Katy Perry;Hot N Cold;English;2008
226;Katy Perry;I Kissed A Girl;English;2008
227;Katy Perry feat. Nicki Minaj;Swish Swish;English;2017
228;Ke$ha;Tik Tok;English;2009
229;Kelly Clarkson;Because of you;English;2004
230;Kelly Clarkson;My Life Would Suck Without You;English;2009
231;Kelly Clarkson;Since U Been Gone;English;2004
232;Kelly Clarkson;Stronger (What Doesn't Kill You);English;2012
233;Kikki;Vem È Dé Du Vill Ha;Swedish;2002
234;Kikki Danielsson;Bra Vibrationer;Swedish;-
235;Kikki, Bettan och Lotta;Vem È Dé Du Vill Ha;Swedish;-
236;Killswitch Engage;My Curse;English;2004
237;Kim Wilde;Kids In America;-;-
238;Kings Of Leon;Sex On Fire;English;2008
239;Kool & The Gang;Celebration;English;1980
240;KÃ¤Ã¤rijÃ¤;Cha Cha Cha;Finnish;2023
241;Lady GaGa;Born This Way;English;2011
242;Lady GaGa;Paparazzi;English;2009
243;Lady Gaga;Poker Face;English;2008
244;Lady GaGa;Yoü And I;English;2011
245;Lady GaGa feat. Colby O'Donis;Just Dance;English;2008
246;Lady Gaga, Bradley Cooper;Shallow;English;2018
247;Las Ketchup;Aserejé;-;-
248;Lasse Holm och Monica Törnell;É Dé Det Här Du Kallar Kärlek;Swedish;-
249;Lasse Holm och Monica Törnell;É Dé Det Här Du Kallar Kärlek;Swedish;1986
250;Laura Branigan;Self Control;English;1984
251;Lejonkungen;En Värld Full Av Liv;Swedish;1994
252;Lejonkungen;Snart Är Det Jag Som Är Kung;Swedish;1994
253;Lena Philipsson;Dansa I Neon;Swedish;1987
254;Lena Philipsson;Det gör ont;Swedish;2004
255;Limahl;The NeverEnding Story;-;-
256;Limp Bizkit;Behind blue eyes;-;-
257;Linda Bengtzing;Jag Ljuger Så Bra;Swedish;2006
258;Linkin Park;Numb;English;2003
259;LMFAO;Sexy and I Know It;English;2011
260;LMFAO, Lauren Bennett & Goon Rock;Party Rock Anthem;English;2011
261;Lordi;Hard Rock Hallelujah;-;-
262;Loreen;Euphoria;English;2012
263;Lotta Engberg;Fyra Bugg Och en Coca Cola;Swedish;-
264;Lou Bega;Mambo No. 5;English;1999
265;Luis Fonsi feat. Daddy Yankee;Despacito;Español;2017
266;Luis Fonsi y Demi Lovato;Échame la culpa;Español;2017
267;Lynyrd Skynyrd;Sweet Home Alabama;English;1974
268;Macklemore & Ryan Lewis Feat Wanz;Thrift Shop;English;2013
269;Macklemore & Ryan Lewis feat. Ray Dalton;Cant Hold Us;English;2013
270;Madonna;Hung up;-;-
271;Madonna;La Isla Bonita;-;-
272;Madonna;Like A Prayer;English;1989
273;Madonna;Like a Virgin;-;-
274;Magic!;Rude;English;2013
275;Magnus Uggla;Värsta grymma tjejen;Swedish;2004
276;Mariah Carey;All I Want For Christmas Is You;English;1994
277;Mark Ronson feat. Bruno Mars;Uptown Funk;English;2014
278;Markoolio Och Linda Bengtzing;Värsta Schlagern;Swedish;2007
279;Maroon 5 feat. Wiz Khalifa;Payphone;English;2012
280;Martin Stenmarck;Las Vegas;English;-
281;Meghan Trainor;All About That Bass;English;2014
282;Michael Jackson;Bad;English;1987
283;Michael Jackson;Beat It;English;1982
284;Michael Jackson;Billie Jean;English;1982
285;Michael Jackson;They don't care about us;English;1995
286;Michel Teló;Ai Se Eu Te Pego;Portuguese;2011
287;Mika;Big Girl You Are Beautiful;English;2007
288;Mika;Grace Kelly;English;2007
289;Miley Cyrus;Flowers;English;2023
290;Miley Cyrus;The Climb;English;2009
291;Miley Cyrus;Wrecking Ball;English;2013
292;Miley Cyrus and Dua Lipa;Prisoner;English;2020
293;Måns Zelmerlöw;Heroes;English;2015
294;N'Sync;Bye bye bye;English;2000
295;Nanne Grönvall;Håll Om Mig;Swedish;2005
296;Nelly Furtado;All Good Things;English;2006
297;Nelly Furtado;Say It Right;English;2006
298;Nena;99 Luftballons;German;1984
299;Nena;99 Red Balloons;English;1984
300;Nickelback;How You Remind Me;English;2001
301;Nickelback;Rockstar;English;2005
302;Nicki Minaj;Starships;English;2012
303;Nicky Jam y Enrique Iglesias;El perdón;Español;2015
304;Nightwish;Amaranth;English;2007
305;Nightwish;Storytime;English;2011
306;Nirvana;Smells Like Teen Spirit;-;-
307;Oasis;Wonderwall;-;-
308;Olivia Rodrigo;Drivers license;English;2021
309;Olivia Rodrigo;good 4 u;English;2021
310;One Direction;Live While We're Young;English;2013
311;One Direction;What Makes You Beautiful;English;2012
312;Opus;Live Is Life;-;-
313;OutKast;Hey Ya!;English;2003
314;Owl City;Fireflies;English;2009
315;Owl City & Carly Rae Jepsen;Good Time;English;2012
316;Ozzy Osbourne;Crazy Train;English;1980
317;P!nk;Raise your glass;English;2010
318;P!nk;So what;English;2008
319;Paradisio;Bailando;Spanish;-
320;Paramore;Misery Business;English;2007
321;Passenger;Let her go;English;2013
322;Paul Engemann;Scarface (Push it to the limit);English;1983
323;Phil Collins;You'll be in my heart;English;1999
324;Piko Taro;Pen Pineapple Apple Pen;English;2016
325;Pink;Get The Party Started;-;-
326;Pink;Just Like A Pill;-;-
327;Pitbull & Christina Aguilera;Feel This Moment;English;2013
328;Pitbull & Ke$ha;Timber;English;2013
329;Pokémon;JigglyPuff's Song;Japanese;2003
330;Portal;Still Alive;-;-
331;Psy;Gangnam Style;Korean;2012
332;Psy;Gentleman;Korean;2013
333;PSY feat. CL of 2NE1;DADDY;Korean;2015
334;Pussycat Dolls;Don't Cha (Radio Edit);-;-
335;Queen;Bohemian Rhapsody;English;1975
336;Queen;Don't Stop Me Now;English;1978
337;Queen;Don´t stop me now;-;-
338;Queen;We Are the Champions;English;1977
339;Radical Face;Welcome Home;English;2007
340;Ramones;Blitzkrieg Bop;English;1976
341;Red Hot Chili Peppers;By The Way;English;2002
342;Red Hot Chili Peppers;Dani California;English;2006
343;Red Hot Chili Peppers;Under the bridge;English;1991
344;Rednex;Cotton Eye Joe;-;-
345;Rick Astley;Never gonna give you up;English;1987
346;Ricky Martin;Livin' La Vida Loca;-;-
347;Ricky Martin;She bangs;English;2000
348;Rihanna;Diamonds;English;2012
349;Rihanna;Don't stop the music;English;2008
350;Rihanna;Pon De Replay;English;2005
351;Rihanna;S&M;English;2011
352;Rihanna;Umbrella;English;2007
353;Rihanna feat. Calvin Harris;We Found Love;English;2011
354;Rihanna feat. Drake;Work;English;2016
355;Robbie Williams;Angels;English;1997
356;Robbie Williams;Let Me Entertain You;-;-
357;Roger Pontare;När Vindarna Viskar Mitt Namn;Swedish;2000
358;Roxette;It Must Have Been Love;-;-
359;Roxette;Listen to your heart;-;-
360;Scissor Sisters;I Don't Feel Like Dancin';English;2006
361;Scorpions;Rock You Like a Hurricane;English;1984
362;Seal;Kiss From A Rose;English;1994
363;Sean Kingston;Beautiful Girls;English;2007
364;Shaggy ft. Rikrok;It wasn't me;English;2000
365;Shakira;Underneath Your Clothes;English;2002
366;Shakira;Whenever wherever;-;-
367;Shakira ft. Freshlyground;Waka Waka (This Time for Africa);English;2010
368;Shawn Mendes;Stitches;English;2015
369;Shawn Mendes;Treat you better;English;2016
370;Shirley Clamp;Min Kärlek;Swedish;-
371;Sia;Chandelier;English;2014
372;Sia;Cheap Thrills;English;2016
373;Sia;The Greatest;English;2016
374;Simple Plan;Summer Paradise;French;2012
375;Skillet;Awake and Alive;English;2009
376;Skillet;Hero;English;2009
377;Skillet;Monster;English;2009
378;Skönheten Och Odjuret;Skönheten Och Odjuret;Swedish;1991
379;Smash Mouth;All Star;English;1999
380;Snow Patrol;Chasing Cars;English;2006
381;Sonya Aldén;För Att Du Finns;Swedish;-
382;South Park;Poker Face;English;2009
383;South Park;Uncle Fucker;English;1999
384;Spice Girls;Wannabe;English;1996
385;Sugababes;About You Now;English;2007
386;Sum 41;Still waiting;English;2002
387;Sunrise Ave;Fairytale Gone Bad;English;2006
388;Survivor;Eye Of The Tiger;-;-
389;Swedish House Mafia;Save The World (Tonight);English;2011
390;Swedish House Mafia & John Martin;Don't You Worry Child;English;2012
391;Taio Cruz;Break Your Heart;English;2009
392;Taio Cruz;Dynamite;English;2009
393;Taio Cruz feat. Flo Rida;Hangover;English;2011
394;Take That;Back for Good;-;-
395;Take That feat. Lulu;Relight My Fire;-;-
396;Tarzan;Manniska;Swedish;1999
397;Taylor Swift;Back To December;English;2010
398;Taylor Swift;Bad Blood;English;2014
399;Taylor Swift;Fearless;English;2008
400;Taylor Swift;I Knew You Were Trouble;English;2012
401;Taylor Swift;Mean;English;2011
402;Taylor Swift;Mine;English;2010
403;Taylor Swift;Out Of The Woods;English;2016
404;Taylor Swift;Shake It Off;English;2014
405;Taylor Swift;Sparks Fly;English;2011
406;Taylor Swift;Style;English;2015
407;Taylor Swift;The Story Of Us;English;2011
